NAME,MLST ST (Klebsiella pneumoniae (Pasteur)),MLST PROFILE (Klebsiella pneumoniae (Pasteur)),CGMLST,LINCODE,SUBLINEAGE,CLONAL GROUP,Inc Types,K Locus,Predicted capsule (K locus) type,O locus,Predicted O type,Virulence Score,AEROBACTIN (AbST),COLIBACTIN (CbST),SALMOCHELIN (SmST),YERSINIABACTIN (YbST),RmpADC,rmpA2
ERR4920594,39,2_1_2_4_9_1_14,17887,0_0_107_1_0_0_7_0_0_0,39,10192,IncFIB(K); IncFII(K); IncR,KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (273-1LV),-,-
ERR4920629,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR4920393,39,2_1_2_4_9_1_14,*9e1c,0_0_107_1_0_0_10_1_?_?,39,10192,IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378-1LV),-,-
ERR4920532,39,2_1_2_4_9_1_14,17843,0_0_107_0_1_17_0_0_0_0,39,39,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K); IncR,KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (277-1LV),-,-
ERR4920628,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR4920374,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR4920519,39,2_1_2_4_9_1_14,17835,0_0_107_0_4_0_11_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR4920514,39,2_1_2_4_9_1_14,17833,0_0_107_0_4_0_13_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(pBK30683); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR4920440,39,2_1_2_4_9_1_14,17791,0_0_107_1_0_0_10_0_0_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K); IncR,KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378-1LV),-,-
ERR4920511,39,2_1_2_4_9_1_14,17830,0_0_107_1_0_0_0_0_6_0,39,10192,IncFIB(K)(pCAV1099-114),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378),-,-
ERR2693361,39,2_1_2_4_9_1_14,11117,0_0_107_0_11_0_0_0_1_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693335,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693336,39,2_1_2_4_9_1_14,11117,0_0_107_0_11_0_0_0_1_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693362,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693316,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693360,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR2693325,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMD00108880,39,2_1_2_4_9_1_14,16945,0_0_107_0_1_11_0_0_0_0,39,39,Col(pHAD28); Col(pHAD28); IncFIB(K); IncFII; IncFII(K); IncFII(K); IncN2; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA4587865,39,2_1_2_4_9_1_14,17175,0_0_107_0_0_0_0_0_12_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,O2β,1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA104091955,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104091999,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA4587864,39,2_1_2_4_9_1_14,17174,0_0_107_0_0_0_0_0_11_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,Capsule null,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA104092000,39,2_1_2_4_9_1_14,11117,0_0_107_0_11_0_0_0_1_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104091974,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104605887,39,2_1_2_4_9_1_14,17154,0_0_107_0_1_7_0_1_0_0,39,39,Col440II; IncFIA(HI1); IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104091964,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104092001,39,2_1_2_4_9_1_14,11121,0_0_107_0_11_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA104091975,39,2_1_2_4_9_1_14,11117,0_0_107_0_11_0_0_0_1_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7190464,39,2_1_2_4_9_1_14,17479,0_0_107_0_1_8_0_1_0_0,39,39,Col440I; IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7190329,39,2_1_2_4_9_1_14,17448,0_0_107_0_4_0_1_8_0_0,39,39,Col440I; IncFIB(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7190597,39,2_1_2_4_9_1_14,17568,0_0_107_2_0_0_0_3_0_0,39,10195,IncFIB(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707554,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K)--IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472219,39,2_1_2_4_9_1_14,17764,0_0_107_1_0_0_10_1_0_0,39,10192,IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378-1LV),-,-
SAMEA7472416,39,2_1_2_4_9_1_14,17826,0_0_107_0_8_1_0_0_0_0,39,39,IncFIB(K)(pCAV1099-114),KL116,unknown (KL116),OL2α.1,"O1αβ,2α",0,0,,0,0,-,-
SAMEA7707543,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K)--IncFII(K); IncL; IncR,KL23,Capsule null,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472947,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7707546,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2α",0,0,,0,0,-,-
SAMEA7472055,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7701925,39,2_1_2_4_9_1_14,17932,0_0_107_2_3_0_0_0_0_0,39,10195,Col(pHAD28); IncFIB(K); IncFII(K); repB(R1701),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472490,39,2_1_2_4_9_1_14,17843,0_0_107_0_1_17_0_0_0_0,39,39,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K); IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (277-1LV),-,-
SAMEA7707545,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707551,39,2_1_2_4_9_1_14,17922,0_0_107_0_3_0_0_1_1_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII; IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472854,39,2_1_2_4_9_1_14,17887,0_0_107_1_0_0_7_0_0_0,39,10192,IncFIA(HI1); IncFIB(K); IncFII(K); IncFII(K); IncR,KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (273-1LV),-,-
SAMEA7707549,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707542,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707544,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472285,39,2_1_2_4_9_1_14,17791,0_0_107_1_0_0_10_0_0_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K); IncR,KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378-1LV),-,-
SAMEA7472462,39,2_1_2_4_9_1_14,17835,0_0_107_0_4_0_11_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7707548,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2α",0,0,,0,0,-,-
SAMEA7707553,39,2_1_2_4_9_1_14,17923,0_0_107_0_3_0_0_1_2_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707556,39,2_1_2_4_9_1_14,17924,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII; IncFII(K); IncL; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472442,39,2_1_2_4_9_1_14,17833,0_0_107_0_4_0_13_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(pBK30683); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7707555,39,2_1_2_4_9_1_14,17923,0_0_107_0_3_0_0_1_2_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472437,39,2_1_2_4_9_1_14,17830,0_0_107_1_0_0_0_0_6_0,39,10192,IncFIB(K)(pCAV1099-114),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378),-,-
SAMEA7707547,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707552,39,2_1_2_4_9_1_14,17923,0_0_107_0_3_0_0_1_2_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7472949,39,2_1_2_4_9_1_14,17746,0_0_107_0_4_0_8_0_0_0,39,39,IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA7707550,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7707557,39,2_1_2_4_9_1_14,17924,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII; IncFII(K); IncL; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA7773854,39,2_1_2_4_9_1_14,12367,0_0_107_0_1_10_0_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2α",0,0,,0,0,-,-
SAMEA7773824,39,2_1_2_4_9_1_14,12346,0_0_107_0_4_1_0_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",3,iuc 3 (64),,0,0,-,-
SAMEA8515152,39,2_1_2_4_9_1_14,21517,0_0_107_0_1_3_0_0_1_0,39,39,Col(pHAD28); IncFII(K); IncX3; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (595),-,-
SAMEA8399448,39,2_1_2_4_9_1_14,21426,0_0_107_0_1_9_4_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA8664730,39,2_1_2_4_9_1_14,21614,0_0_107_0_0_0_0_7_0_0,39,39,ColRNAI; IncFIB(pQil); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA8948680,39,2_1_2_4_9_1_14,13474,0_0_107_0_1_7_1_0_0_0,39,39,Col440II; IncFIB(K); IncX1,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA8997936,39,2_1_2_4_9_1_14,22097,0_0_107_0_4_0_9_0_0_0,39,39,IncFIB(K); IncFII(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA8997937,39,2_1_2_4_9_1_14,22097,0_0_107_0_4_0_9_0_0_0,39,39,IncFIB(K); IncFII(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA8997926,39,2_1_2_4_9_1_14,22090,0_0_107_2_1_0_0_1_0_0,39,10195,Col440I; IncFIB(K); IncFII(K); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA8997924,39,2_1_2_4_9_1_14,22088,0_0_107_0_1_18_0_0_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII(K); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN18145472,39,2_1_2_4_9_1_14,25905,0_0_107_0_7_0_0_1_0_0,39,39,Col(MG828); IncFIB(K)(pCAV1099-114)--IncHI1B(pNDM-MAR); IncFII(K)--repB(R1701); IncR,KL51,K51,OL2α.2,"O1αβ,2β",2,0,,0,ybt 17; ICEKp10 (288),-,-
SAMN17885212,39,2_1_2_4_9_1_14,25852,0_0_107_0_0_0_0_9_0_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR),KL23,Capsule null,OL2α.2,"O1αβ,2α",4,iuc 1 (95),,0,ybt 14; ICEKp5 (151),-,-
SAMN18878040,39,2_1_2_4_9_1_14,26054,0_0_107_0_19_0_0_0_0_0,39,39,ColRNAI; IncC; IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR),KL23,K23,OL2α.2,"O1αβ,2β",4,iuc 1 (95-1LV),,0,ybt 14; ICEKp5 (151-1LV),-,-
SAMEA8997923,39,2_1_2_4_9_1_14,22087,0_0_107_0_4_0_8_1_0_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN19016612,39,2_1_2_4_9_1_14,26490,0_0_107_0_6_0_1_0_0_0,39,39,IncFIB(pQil),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN19658524,39,2_1_2_4_9_1_14,27032,0_0_107_0_1_9_6_0_0_0,39,39,Col440II; IncHI1B(pNDM-MAR); IncR; repB_KLEB,KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 4; plasmid (463),-,-
SAMN20033607,39,2_1_2_4_9_1_14,27198,0_0_107_0_1_7_4_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (391-2LV),-,-
SAMN20338549,39,2_1_2_4_9_1_14,27326,0_0_107_1_3_0_0_0_0_0,39,10192,IncFIA(HI1); IncFIB(K); IncFII(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2α",1,0,,0,ybt 10; ICEKp4 (88-1LV),-,-
SAMN14978785,39,2_1_2_4_9_1_14,22391,0_0_107_0_1_14_0_0_0_0,39,39,IncX1,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN15355684,39,2_1_2_4_9_1_14,27776,0_0_107_1_0_0_9_0_0_0,39,10192,IncFIB(K); IncFII(K)--repB(R1701); IncX3,KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN16824554,39,2_1_2_4_9_1_14,24001,0_0_107_1_0_0_8_0_2_0,39,10192,Col(KPHS6); Col(pHAD28); Col(pHAD28); ColpVC; IncFIB(K); IncFII(K); repB(R1701),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN16824555,39,2_1_2_4_9_1_14,24002,0_0_107_1_0_0_8_0_0_0,39,10192,Col(pHAD28); Col(pHAD28); IncFIB(K); IncFII(K); repB(R1701),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN16361982,39,2_1_2_4_9_1_14,23516,0_0_107_1_5_0_0_0_0_0,39,10192,Col(pHAD28); IncFIB(K)(pCAV1099-114); IncFII(K); IncR,KL43,K43,OL2α.1,"O1αβ,2α",1,0,,0,ybt 14; ICEKp5 (145-3LV),-,-
SAMN15813797,39,2_1_2_4_9_1_14,23257,0_0_107_1_4_0_0_0_0_0,39,10192,Col(pHAD28); IncFIB(K)(pCAV1099-114); IncFII(K); repB(R1701),KL43,K43,OL2α.1,"O1αβ,2α",1,0,,0,ybt 14; ICEKp5 (145-2LV),-,-
SAMN16824553,39,2_1_2_4_9_1_14,23999,0_0_107_1_0_0_8_0_1_0,39,10192,Col(KPHS6); Col(pHAD28); Col(pHAD28); IncFIB(K); IncFII(K); repB(R1701),KL62,Capsule null,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN10086740,39,2_1_2_4_9_1_14,23485,0_0_107_0_16_0_0_0_0_0,39,39,Col440I; IncFIB(pQil); IncFII(K); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN15813798,39,2_1_2_4_9_1_14,23258,0_0_107_1_4_0_0_1_0_0,39,10192,Col(pHAD28); Col(pHAD28); IncFIB(K)(pCAV1099-114); IncFII(K)--repB(R1701),KL43,K43,OL2α.1,"O1αβ,2α",1,0,,0,ybt 14; ICEKp5 (145-3LV),-,-
SAMN15813830,39,2_1_2_4_9_1_14,23301,0_0_107_0_4_0_12_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K); repB(R1701),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN16684230,39,2_1_2_4_9_1_14,*5b8d,0_0_107_0_16_?_?_?_?_?,39,39,Col440I; IncFIB(pQil); IncFII(K); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR6058123,39,2_1_2_4_9_1_14,38075,0_0_107_0_4_0_1_0_1_0,39,39,Col440II; IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR6058031,39,2_1_2_4_9_1_14,38088,0_0_107_0_4_0_1_10_0_0,39,39,Col(pHAD28); Col440II; IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR6058096,39,2_1_2_4_9_1_14,38075,0_0_107_0_4_0_1_0_1_0,39,39,Col440II; IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR6057887,39,2_1_2_4_9_1_14,38075,0_0_107_0_4_0_1_0_1_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR6058122,39,2_1_2_4_9_1_14,38075,0_0_107_0_4_0_1_0_1_0,39,39,Col440II; IncFIB(K); IncFII(K); IncR,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMD00399233,39,2_1_2_4_9_1_14,18196,0_0_107_0_18_0_0_0_0_0,39,39,repB_KLEB,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,iro 1 (1),0,rmp 1; KpVP-1,-
SAMEA5978378,39,2_1_2_4_9_1_14,18350,0_0_107_1_0_0_6_0_0_0,39,10192,Col(BS512); IncFIB(K)(pCAV1099-114); IncFII(pKP91)--repB(R1701),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA8065725,39,2_1_2_4_9_1_14,18473,0_0_107_0_4_0_1_1_2_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K); IncL,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA8158447,39,2_1_2_4_9_1_14,24031,0_0_107_0_4_0_1_5_0_0,39,39,ColRNAI; IncFIB(K); IncFIB(pB171); IncFII(K); IncFII(SARC14); IncL,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN19708883,39,2_1_2_4_9_1_14,27912,0_0_107_0_4_0_1_6_0_0,39,39,Col440I; IncFIB(K); IncFII(K); IncFII(K); IncM2; repB(R1701),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN22968163,39,2_1_2_4_9_1_14,8054,0_0_107_1_0_0_0_0_1_0,39,10192,IncFIB(K)(pCAV1099-114),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378),-,-
SAMN22968142,39,2_1_2_4_9_1_14,8054,0_0_107_1_0_0_0_0_1_0,39,10192,IncFIB(K)(pCAV1099-114),KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378),-,-
SAMN25722290,39,2_1_2_4_9_1_14,29670,0_0_107_0_4_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722289,39,2_1_2_4_9_1_14,29670,0_0_107_0_4_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722288,39,2_1_2_4_9_1_14,29670,0_0_107_0_4_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722287,39,2_1_2_4_9_1_14,29670,0_0_107_0_4_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722286,39,2_1_2_4_9_1_14,29672,0_0_107_0_4_2_0_0_1_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722285,39,2_1_2_4_9_1_14,29670,0_0_107_0_4_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,Capsule null,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN25722284,39,2_1_2_4_9_1_14,29673,0_0_107_0_4_2_0_1_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
